index,name,address,place_id,formatted_address,success
10143,The Egg Factory,"447, Ground Floor, 17th Cross, Sector 4, HSR, Bangalore",ChIJd70Uo5kUrjsRBkeTgpcj9x8,"88, Jyoti Nivas College Rd, KHB Colony, 5th Block, Koramangala, Bengaluru, Karnataka 560095, India",True
9450,Whitefield Baking Company - Bengaluru Marriott Hotel...,"Bengaluru Marriott Hotel, 75, 8th Road, EPIP Area, Whitefield, Bangalore",ChIJixmRVfERrjsR4-QBaxZrfW8,"Plot No 75, 8th Rd, EPIP Zone, Whitefield, Bengaluru, Karnataka 560066, India",True
3753,Theobroma,"Theobroma, NO.774,""CHIRA CORNER"",16TH MAIN,7TH CROSS,BTM 2nd STAGE,BANGALORE-560076, BTM Layout , B.B.M.P South, Karnataka-560076",ChIJr9zXO-QVrjsRUYQofwVHibo,"No.774,""Chira Corner"", 16Th Main, M.P South, B.B, 7th Cross Rd, BTM 2nd Stage, BTM Layout, Bengaluru, Karnataka 560076, India",True
1662,Davanagere benne dosa corner,"Davanagere benne dosa corner, NO 763, 4tn crs , opp pk kalyan mantapa begur main road,BTM layout south bangalore- 560068",ChIJ91Sb4HglujsRDDADGyAw0XA,"FW64+5V2, Church Rd, MCC, Davanagere, Karnataka 577004, India",True
8814,Kolkata Famous Kati Roll,"Near Shell Petrol Pump, Outer Ring Road, Bellandur, Bangalore",ChIJoVaEfh8TrjsRteDoijZKfuQ,"Cherry Ln, Green Glen Layout, Bellandur, Bengaluru, Karnataka 560103, India",True
12833,The Sweet Spot,"11, 80 Feet Main Road, Opposite Indian Oil Petrol Pump, Koramangala 6th Block, Bangalore",ChIJ77vvfkUUrjsRitclMW-11WA,"143/B, 60 Feet Rd, KHB Block Koramangala, 5th Block, Koramangala, Bengaluru, Karnataka 560034, India",True
4189,Burger It Up,"Burger It Up, #113, 1st Floor, TC Palya Main Road, Above   Naidu Hotel, Sonnathammanahalli, KR Puram,   Hobli, , K R Puram, B.B.M.P East,   Karnataka-560036",,,False
3855,Namaste,"Namaste, 69, 7th Main Road, BTM 2nd Stage, Bangalore - 76",ChIJKUWuni4VrjsRvSAf1GOctOw,"69, 7th Main Rd, Mahadeshwara Nagar, BTM 2nd Stage, BTM Layout, Bengaluru, Karnataka 560076, India",True
13983,Al Taj Fast Food,"140, 2nd Main Road, Telecom Layout, Cholourpalya, Vijay Nagar, Bangalore",ChIJw9WGxss9rjsRKRRa0kgxDno,"2nd main road, Magadi Rd, near Toll gate, Vidyaranya Nagar, Bengaluru, Karnataka 560023, India",True
2874,KFC,"KFC, KFC, Unit no 10, 3rd floor, Food court ,Forum Neighbourhood Mall, Whitefield Main road, Bangalore 560066",ChIJJ4b-oA8NrjsRSb5Y6AAiquQ,"3rd Flr, The Forum Neighbourhood Mall, UN 10, Whitefield Main Rd, Prestige Ozone, Whitefield, Bengaluru, Karnataka 560066, India",True
